incident_place,incident_weekday,part_of_the_day,latitude,longitude,crime_risk_score,murder_risk,rape_risk,kidnap_risk,bodyfound_risk,robbery_risk,assault_risk,total_crimes,total_murders,total_rapes,total_kidnaps,total_bodyfounds,total_robberys,total_assaults,risk_level,marker_radius,dominant_crime
adabor,friday,morning,23.769808,90.351595,0.30690917469168577,0.0,0.0,0.0,0.30690917469168577,0.0,0.0,1,0,0,0,1,0,0,Low,9.603637620375286,bodyfound_risk
adabor,sunday,morning,23.769808,90.351595,0.31939309969510987,0.0,0.0,0.31939309969510987,0.0,0.0,0.0,1,0,0,1,0,0,0,Low,9.790896495426647,kidnap_risk
adabor,thursday,morning,23.77218868,90.35344364,0.3576923106998802,0.0,0.0,0.1788461553499401,0.1788461553499401,0.0,0.0,2,0,0,1,1,0,0,Moderate,10.365384660498204,kidnap_risk
adabor,thursday,night,23.77456936,90.35529228,0.3102680460672509,0.0,0.0,0.0,0.3102680460672509,0.0,0.0,1,0,0,0,1,0,0,Low,9.654020691008764,bodyfound_risk
adabor,tuesday,night,23.769808,90.351595,0.31486660828273283,0.31486660828273283,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Low,9.722999124240992,murder_risk
adabor,wednesday,morning,23.77456936,90.35529228,0.3334726562156506,0.3334726562156506,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Low,10.00208984323476,murder_risk
adabor,wednesday,night,23.77456936,90.35529228,0.3145156341337715,0.3145156341337715,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Low,9.717734512006572,murder_risk
adamdighi,friday,morning,24.81667,89.0,0.14453593368584705,0.0,0.0,0.0,0.14453593368584705,0.0,0.0,1,0,0,0,1,0,0,Very Low,7.168039005287706,bodyfound_risk
adamdighi,friday,night,24.81667,89.0,0.14731013161615425,0.0,0.14731013161615425,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,7.2096519742423135,rape_risk
adamdighi,monday,night,24.81667,89.0,0.20359160895556971,0.0,0.10179580447778486,0.0,0.0,0.10179580447778486,0.0,2,0,1,0,0,1,0,Low,8.053874134333546,rape_risk
adamdighi,saturday,night,24.81667,89.0,0.1390912912567696,0.0,0.1390912912567696,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,7.086369368851544,rape_risk
adamdighi,sunday,evening,24.81667,89.0,0.15664414483394723,0.0,0.15664414483394723,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,7.349662172509209,rape_risk
adamdighi,thursday,morning,24.81667,89.0,0.12709612468103176,0.0,0.0,0.0,0.12709612468103176,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.906441870215477,bodyfound_risk
aditmari,friday,afternoon,25.925,89.35,0.11851436466258158,0.0,0.11851436466258158,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.777715469938723,rape_risk
aditmari,friday,morning,25.925,89.35,0.10875006328753074,0.0,0.0,0.0,0.0,0.0,0.10875006328753074,1,0,0,0,0,0,1,Very Low,6.631250949312961,assault_risk
aditmari,friday,night,25.925,89.35,0.11155161652971017,0.0,0.0,0.0,0.0,0.0,0.11155161652971017,1,0,0,0,0,0,1,Very Low,6.673274247945653,assault_risk
aditmari,monday,morning,25.925,89.35,0.11305385407061905,0.0,0.0,0.11305385407061905,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.695807811059286,kidnap_risk
aditmari,monday,night,25.925,89.35,0.14592503785619063,0.0,0.07296251892809531,0.0,0.0,0.0,0.07296251892809531,2,0,1,0,0,0,1,Very Low,7.188875567842859,rape_risk
aditmari,saturday,night,25.925,89.35,0.1017817845482119,0.0,0.0,0.0,0.0,0.0,0.1017817845482119,1,0,0,0,0,0,1,Very Low,6.526726768223178,assault_risk
aditmari,sunday,night,25.925,89.35,0.09983357030241391,0.0,0.09983357030241391,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.497503554536209,rape_risk
aditmari,thursday,night,25.925,89.35,0.19725881179639781,0.0,0.049314702949099454,0.0,0.09862940589819891,0.0,0.049314702949099454,4,0,1,0,2,0,1,Very Low,7.958882176945967,bodyfound_risk
aditmari,tuesday,night,25.925,89.35,0.14345702345977407,0.0,0.07172851172988703,0.0,0.07172851172988703,0.0,0.0,2,0,1,0,1,0,0,Very Low,7.151855351896611,rape_risk
aditmari,wednesday,night,25.925,89.34999999999998,0.18446046267440774,0.06148682089146924,0.06148682089146924,0.06148682089146924,0.0,0.0,0.0,3,1,1,1,0,0,0,Very Low,7.766906940116116,murder_risk
aftabnagar,friday,night,23.728907,90.417137,0.5909420340952692,0.2954710170476346,0.0,0.0,0.0,0.2954710170476346,0.0,2,1,0,0,0,1,0,High,13.864130511429039,murder_risk
agailjhara,friday,noon,22.9667,90.15,0.24517238337398617,0.0,0.0,0.0,0.0,0.0,0.24517238337398617,1,0,0,0,0,0,1,Low,8.677585750609794,assault_risk
agailjhara,sunday,night,22.9667,90.15,0.25281914872471645,0.25281914872471645,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Low,8.792287230870746,murder_risk
agargaon,monday,noon,23.728907,90.417137,0.31486341975879706,0.0,0.0,0.0,0.0,0.31486341975879706,0.0,1,0,0,0,0,1,0,Low,9.722951296381956,robbery_risk
agargaon,saturday,morning,23.728907,90.417137,0.31973358300415644,0.0,0.31973358300415644,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Low,9.796003745062347,rape_risk
agargaon,sunday,morning,23.728907,90.417137,0.3166088757515047,0.0,0.0,0.3166088757515047,0.0,0.0,0.0,1,0,0,1,0,0,0,Low,9.74913313627257,kidnap_risk
agargaon,tuesday,morning,23.728907,90.417137,0.32262896432869176,0.0,0.0,0.0,0.32262896432869176,0.0,0.0,1,0,0,0,1,0,0,Low,9.839434464930378,bodyfound_risk
agargaon,tuesday,night,23.728907,90.417137,0.33671950871276024,0.0,0.33671950871276024,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Low,10.050792630691404,rape_risk
agargaon,wednesday,noon,23.728907,90.417137,0.3632586489240874,0.0,0.0,0.0,0.0,0.0,0.3632586489240874,2,0,0,0,0,0,2,Moderate,10.448879733861311,assault_risk
agrabad,friday,afternoon,22.31667,91.81667,0.24440190111770366,0.0,0.0,0.0,0.0,0.0,0.24440190111770366,1,0,0,0,0,0,1,Low,8.666028516765554,assault_risk
agrabad,monday,night,22.31667,91.81667,0.23239027414084257,0.0,0.0,0.0,0.0,0.0,0.23239027414084257,1,0,0,0,0,0,1,Low,8.485854112112639,assault_risk
agrabad,sunday,noon,22.31667,91.81667,0.23416828964981046,0.0,0.0,0.0,0.23416828964981046,0.0,0.0,1,0,0,0,1,0,0,Low,8.512524344747156,bodyfound_risk
agrabad,wednesday,noon,22.31667,91.81667,0.23352561689702953,0.0,0.0,0.0,0.0,0.0,0.23352561689702953,1,0,0,0,0,0,1,Low,8.502884253455443,assault_risk
airport,monday,night,23.847177,90.4041325,0.35197386636763345,0.0,0.0,0.0,0.0,0.0,0.35197386636763345,1,0,0,0,0,0,1,Moderate,10.279607995514501,assault_risk
airport,saturday,morning,23.847177,90.4041325,0.3499722457635105,0.0,0.0,0.0,0.3499722457635105,0.0,0.0,1,0,0,0,1,0,0,Low,10.249583686452658,bodyfound_risk
airport,thursday,night,23.847177,90.4041325,0.4514763532905317,0.4514763532905317,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,Moderate,11.772145299357977,murder_risk
ajmiriganj,friday,night,24.5472,91.25,0.13331850391839972,0.13331850391839972,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.999777558775996,murder_risk
ajmiriganj,monday,morning,24.5472,91.25,0.28214699113852393,0.0,0.18809799409234929,0.09404899704617464,0.0,0.0,0.0,3,0,2,1,0,0,0,Low,9.232204867077858,rape_risk
ajmiriganj,thursday,night,24.5472,91.25,0.13897051535099514,0.13897051535099514,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,7.084557730264927,murder_risk
ajmiriganj,tuesday,morning,24.5472,91.25,0.13353076203248224,0.0,0.0,0.0,0.13353076203248224,0.0,0.0,1,0,0,0,1,0,0,Very Low,7.002961430487233,bodyfound_risk
akhaura,friday,afternoon,23.8833,91.2166,0.13511201597843842,0.13511201597843842,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,7.026680239676576,murder_risk
akhaura,monday,morning,23.8833,91.2166,0.14824641254620752,0.0,0.0,0.0,0.14824641254620752,0.0,0.0,2,0,0,0,2,0,0,Very Low,7.223696188193113,bodyfound_risk
akhaura,monday,night,23.8833,91.2166,0.12206846228798252,0.0,0.12206846228798252,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.831026934319738,rape_risk
akhaura,saturday,morning,23.8833,91.2166,0.21701041147505962,0.054252602868764904,0.0,0.0,0.054252602868764904,0.0,0.10850520573752981,4,1,0,0,1,0,2,Low,8.255156172125893,assault_risk
akhaura,saturday,night,23.8833,91.2166,0.11722654577695328,0.11722654577695328,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.758398186654299,murder_risk
akhaura,sunday,morning,23.8833,91.2166,0.10167237954402152,0.0,0.0,0.0,0.0,0.0,0.10167237954402152,1,0,0,0,0,0,1,Very Low,6.525085693160323,assault_risk
akhaura,sunday,night,23.8833,91.2166,0.11759626831528927,0.0,0.11759626831528927,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.763944024729339,rape_risk
akhaura,thursday,morning,23.8833,91.2166,0.10664014177412368,0.0,0.0,0.0,0.10664014177412368,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.599602126611855,bodyfound_risk
akkelpur,friday,night,24.975,89.02,0.134903654780353,0.0674518273901765,0.0,0.0,0.0,0.0674518273901765,0.0,2,1,0,0,0,1,0,Very Low,7.023554821705295,murder_risk
akkelpur,monday,afternoon,24.975,89.02,0.12256408255961554,0.0,0.0,0.0,0.12256408255961554,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.838461238394233,bodyfound_risk
akkelpur,saturday,morning,24.975000000000005,89.02,0.15610884412211432,0.0,0.0,0.0,0.15610884412211432,0.0,0.0,3,0,0,0,3,0,0,Very Low,7.341632661831715,bodyfound_risk
akkelpur,saturday,night,24.975,89.02,0.21869579604370154,0.0,0.0,0.04373915920874031,0.04373915920874031,0.04373915920874031,0.08747831841748062,5,0,0,1,1,1,2,Low,8.280436940655523,assault_risk
akkelpur,sunday,afternoon,24.975,89.02,0.08068792293270871,0.08068792293270871,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.210318843990631,murder_risk
akkelpur,sunday,morning,24.975,89.02,0.11367211938192409,0.0,0.0,0.0,0.11367211938192409,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.705081790728862,bodyfound_risk
akkelpur,sunday,night,24.975,89.02,0.11663456987004783,0.11663456987004783,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.749518548050718,murder_risk
akkelpur,thursday,morning,24.975,89.02,0.10446285830807886,0.0,0.0,0.0,0.10446285830807886,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.566942874621183,bodyfound_risk
akkelpur,thursday,night,24.975,89.02,0.1358794289978199,0.0,0.06793971449890995,0.0,0.06793971449890995,0.0,0.0,2,0,1,0,1,0,0,Very Low,7.038191434967299,rape_risk
akkelpur,tuesday,afternoon,24.975,89.02,0.1114313198262219,0.0,0.0,0.0,0.0,0.0,0.1114313198262219,1,0,0,0,0,0,1,Very Low,6.671469797393328,assault_risk
akkelpur,tuesday,evening,24.975,89.02,0.10452845233073726,0.0,0.0,0.10452845233073726,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.567926784961059,kidnap_risk
akkelpur,tuesday,morning,24.975,89.02,0.10454781270131183,0.0,0.0,0.0,0.10454781270131183,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.568217190519677,bodyfound_risk
akkelpur,wednesday,night,24.975,89.02,0.11072112766167219,0.0,0.0,0.0,0.11072112766167219,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.660816914925083,bodyfound_risk
alamdanga,friday,morning,23.7583,88.95,0.11296239990685944,0.0,0.0,0.0,0.11296239990685944,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.694435998602891,bodyfound_risk
alamdanga,friday,night,23.7583,88.95,0.10639629510295856,0.0,0.0,0.0,0.0,0.10639629510295856,0.0,1,0,0,0,0,1,0,Very Low,6.595944426544378,robbery_risk
alamdanga,friday,noon,23.7583,88.95,0.10778190504022157,0.0,0.0,0.0,0.10778190504022157,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.616728575603323,bodyfound_risk
alamdanga,monday,morning,23.7583,88.95,0.1313072710456385,0.1313072710456385,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.969609065684578,murder_risk
alamdanga,monday,night,23.7583,88.95,0.134163428225119,0.0,0.0,0.0,0.0,0.0670817141125595,0.0670817141125595,2,0,0,0,0,1,1,Very Low,7.012451423376785,robbery_risk
alamdanga,saturday,evening,23.758300000000002,88.95,0.183070101196685,0.0,0.06102336706556166,0.12204673413112332,0.0,0.0,0.0,3,0,1,2,0,0,0,Very Low,7.746051517950274,kidnap_risk
alamdanga,saturday,night,23.758300000000002,88.95,0.16416277019149197,0.05472092339716399,0.05472092339716399,0.0,0.0,0.0,0.05472092339716399,3,1,1,0,0,0,1,Very Low,7.462441552872379,murder_risk
alamdanga,sunday,morning,23.7583,88.95,0.1139228014521115,0.0,0.1139228014521115,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.708842021781672,rape_risk
alamdanga,sunday,night,23.7583,88.95,0.1514180479087504,0.1514180479087504,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,Very Low,7.271270718631256,murder_risk
alamdanga,thursday,night,23.7583,88.95,0.10740774677288775,0.0,0.0,0.0,0.0,0.10740774677288775,0.0,1,0,0,0,0,1,0,Very Low,6.611116201593316,robbery_risk
alamdanga,tuesday,night,23.7583,88.95,0.12818880645975533,0.0,0.0,0.12818880645975533,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.92283209689633,kidnap_risk
alamdanga,wednesday,morning,23.7583,88.95,0.11113644057105823,0.11113644057105823,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.667046608565873,murder_risk
alamdanga,wednesday,night,23.7583,88.95,0.21927264745313582,0.1315635884718815,0.0,0.04385452949062717,0.0,0.0,0.04385452949062717,5,3,0,1,0,0,1,Low,8.289089711797038,murder_risk
alfadanga,monday,night,23.2833,89.7167,0.24773247415488453,0.0,0.24773247415488453,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Low,8.715987112323269,rape_risk
alfadanga,wednesday,night,23.2833,89.7167,0.24905878018053135,0.0,0.24905878018053135,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Low,8.735881702707971,rape_risk
alikadam,friday,night,21.6667,92.3056,0.18227672543695117,0.0,0.09113836271847559,0.0,0.09113836271847559,0.0,0.0,2,0,1,0,1,0,0,Very Low,7.734150881554267,rape_risk
alikadam,saturday,morning,21.6667,92.3056,0.12006121745927392,0.0,0.0,0.12006121745927392,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.800918261889109,kidnap_risk
alikadam,sunday,morning,21.6667,92.3056,0.125132542244398,0.0,0.0,0.125132542244398,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.87698813366597,kidnap_risk
alikadam,sunday,night,21.6667,92.3056,0.12929857547476054,0.0,0.12929857547476054,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.939478632121408,rape_risk
alikadam,wednesday,evening,21.6667,92.3056,0.12678499441441365,0.0,0.0,0.12678499441441365,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.901774916216205,kidnap_risk
alikadam,wednesday,night,21.6667,92.3056,0.11219607782457706,0.11219607782457706,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.682941167368656,murder_risk
amin bazar,monday,night,23.794998,90.291207,0.4014042685869068,0.0,0.0,0.0,0.0,0.0,0.4014042685869068,1,0,0,0,0,0,1,Moderate,11.021064028803602,assault_risk
amtali,friday,night,22.1294,90.2289,0.1567615289926685,0.0,0.05225384299755616,0.0,0.0,0.0,0.10450768599511231,3,0,1,0,0,0,2,Very Low,7.351422934890027,assault_risk
amtali,monday,morning,22.1294,90.2289,0.11530087570727313,0.0,0.0,0.0,0.0,0.0,0.11530087570727313,1,0,0,0,0,0,1,Very Low,6.729513135609097,assault_risk
amtali,monday,night,22.1294,90.2289,0.1850253179050023,0.12335021193666819,0.0,0.0,0.061675105968334094,0.0,0.0,3,2,0,0,1,0,0,Very Low,7.775379768575034,murder_risk
amtali,monday,noon,22.1294,90.2289,0.12255000483592429,0.0,0.0,0.0,0.12255000483592429,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.838250072538864,bodyfound_risk
amtali,saturday,morning,22.1294,90.2289,0.11297470052240766,0.0,0.0,0.0,0.0,0.0,0.11297470052240766,1,0,0,0,0,0,1,Very Low,6.694620507836115,assault_risk
amtali,saturday,night,22.1294,90.2289,0.14272565126667683,0.0,0.0,0.0,0.0,0.0,0.14272565126667683,2,0,0,0,0,0,2,Very Low,7.140884769000152,assault_risk
amtali,sunday,night,22.1294,90.2289,0.14376141897986572,0.0,0.07188070948993286,0.0,0.0,0.07188070948993286,0.0,2,0,1,0,0,1,0,Very Low,7.156421284697986,rape_risk
amtali,thursday,evening,22.1294,90.2289,0.11921352391414622,0.0,0.0,0.11921352391414622,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.788202858712193,kidnap_risk
amtali,thursday,morning,22.1294,90.2289,0.14418149847168793,0.0,0.0,0.0,0.14418149847168793,0.0,0.0,2,0,0,0,2,0,0,Very Low,7.162722477075318,bodyfound_risk
amtali,thursday,night,22.1294,90.2289,0.14916979417536508,0.0,0.07458489708768254,0.0,0.0,0.0,0.07458489708768254,2,0,1,0,0,0,1,Very Low,7.237546912630476,rape_risk
amtali,tuesday,night,22.1294,90.2289,0.17994604425603739,0.05998201475201246,0.05998201475201246,0.0,0.0,0.0,0.05998201475201246,3,1,1,0,0,0,1,Very Low,7.699190663840561,murder_risk
amtali,wednesday,night,22.1294,90.2289,0.13473790285774045,0.0,0.0,0.13473790285774045,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,7.021068542866107,kidnap_risk
anandabazar,friday,noon,23.784506,90.403409,0.5909756335097908,0.0,0.0,0.0,0.5909756335097908,0.0,0.0,1,0,0,0,1,0,0,High,13.864634502646862,bodyfound_risk
anwara,friday,night,22.31667,91.81667,0.13671438701585337,0.0,0.0,0.0,0.0,0.0,0.13671438701585337,1,0,0,0,0,0,1,Very Low,7.0507158052378,assault_risk
anwara,monday,morning,22.31667,91.81667,0.1334512378596103,0.0,0.0,0.0,0.1334512378596103,0.0,0.0,1,0,0,0,1,0,0,Very Low,7.001768567894155,bodyfound_risk
anwara,sunday,morning,22.31667,91.81667,0.136592401784297,0.0,0.136592401784297,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,7.048886026764455,rape_risk
anwara,sunday,night,22.31667,91.81667,0.12086936183827487,0.0,0.0,0.0,0.0,0.0,0.12086936183827487,1,0,0,0,0,0,1,Very Low,6.813040427574123,assault_risk
anwara,thursday,afternoon,22.31667,91.81667,0.13236785384687222,0.0,0.0,0.0,0.0,0.0,0.13236785384687222,1,0,0,0,0,0,1,Very Low,6.985517807703083,assault_risk
anwara,tuesday,morning,22.31667,91.81667,0.1209911036490155,0.0,0.0,0.0,0.0,0.0,0.1209911036490155,1,0,0,0,0,0,1,Very Low,6.814866554735232,assault_risk
anwara,tuesday,night,22.31667,91.81667,0.13733035826014467,0.0,0.0,0.0,0.0,0.0,0.13733035826014467,1,0,0,0,0,0,1,Very Low,7.05995537390217,assault_risk
anwara,wednesday,night,22.31667,91.81667,0.09821299935737796,0.0,0.09821299935737796,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.473194990360669,rape_risk
araihazar,friday,evening,23.7917,90.65,0.1345550643352998,0.0,0.0672775321676499,0.0672775321676499,0.0,0.0,0.0,2,0,1,1,0,0,0,Very Low,7.018325965029497,rape_risk
araihazar,friday,morning,23.7917,90.65,0.0712975881688524,0.0,0.0712975881688524,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.069463822532786,rape_risk
araihazar,friday,night,23.7917,90.65,0.19833799849510445,0.04958449962377611,0.04958449962377611,0.09916899924755222,0.0,0.0,0.0,4,1,1,2,0,0,0,Very Low,7.975069977426567,kidnap_risk
araihazar,friday,noon,23.791700000000002,90.65000000000002,0.17902319082442433,0.0,0.17902319082442433,0.0,0.0,0.0,0.0,3,0,3,0,0,0,0,Very Low,7.685347862366365,rape_risk
araihazar,monday,afternoon,23.7917,90.65,0.1124753925714797,0.0,0.0,0.0,0.1124753925714797,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.687130888572195,bodyfound_risk
araihazar,monday,evening,23.7917,90.65,0.13677605500097118,0.0,0.13677605500097118,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,Very Low,7.051640825014568,rape_risk
araihazar,monday,night,23.7917,90.65,0.0994917888716163,0.0,0.0,0.0,0.0,0.0,0.0994917888716163,1,0,0,0,0,0,1,Very Low,6.492376833074244,assault_risk
araihazar,monday,noon,23.7917,90.65,0.10976288445698021,0.0,0.0,0.0,0.10976288445698021,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.646443266854703,bodyfound_risk
araihazar,saturday,morning,23.7917,90.65,0.11234649982729589,0.0,0.0,0.0,0.11234649982729589,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.685197497409439,bodyfound_risk
araihazar,saturday,night,23.7917,90.65,0.13491796600450792,0.0,0.0,0.0,0.06745898300225396,0.06745898300225396,0.0,2,0,0,0,1,1,0,Very Low,7.023769490067618,bodyfound_risk
araihazar,sunday,evening,23.7917,90.65,0.11270478271668402,0.11270478271668402,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.6905717407502605,murder_risk
araihazar,sunday,morning,23.7917,90.65,0.14430171030222844,0.07215085515111422,0.07215085515111422,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0,Very Low,7.164525654533426,murder_risk
araihazar,thursday,evening,23.7917,90.65,0.11136961463304455,0.0,0.0,0.11136961463304455,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.670544219495668,kidnap_risk
araihazar,thursday,morning,23.7917,90.65,0.12448672843505376,0.0,0.12448672843505376,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,Very Low,6.8673009265258065,rape_risk
araihazar,thursday,noon,23.7917,90.65,0.10963048419826193,0.0,0.0,0.0,0.10963048419826193,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.644457262973929,bodyfound_risk
araihazar,tuesday,morning,23.7917,90.65,0.1287646092183235,0.0,0.1287646092183235,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.931469138274853,rape_risk
araihazar,tuesday,noon,23.7917,90.65,0.10234391533600265,0.0,0.0,0.0,0.10234391533600265,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.53515873004004,bodyfound_risk
araihazar,wednesday,morning,23.7917,90.65,0.1274507718137312,0.1274507718137312,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.911761577205969,murder_risk
araihazar,wednesday,night,23.7917,90.65,0.10641673165776364,0.0,0.0,0.0,0.10641673165776364,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.596250974866455,bodyfound_risk
araihazar,wednesday,noon,23.7917,90.65,0.1169884878704343,0.0,0.1169884878704343,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.754827318056514,rape_risk
aricha highway,monday,morning,23.782726,90.348319,0.41980313600529373,0.0,0.41980313600529373,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Moderate,11.297047040079406,rape_risk
aricha highway,tuesday,night,23.782726,90.348319,0.42267470498842097,0.0,0.0,0.0,0.0,0.42267470498842097,0.0,1,0,0,0,0,1,0,Moderate,11.340120574826315,robbery_risk
ashuganj,friday,morning,24.0366,91.005,0.11525906168291519,0.0,0.0,0.0,0.11525906168291519,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.728885925243728,bodyfound_risk
ashuganj,friday,noon,24.0366,91.005,0.10559957392436878,0.0,0.0,0.0,0.10559957392436878,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.583993608865532,bodyfound_risk
ashuganj,monday,night,24.0366,91.005,0.15079513683307638,0.07539756841653819,0.0,0.0,0.07539756841653819,0.0,0.0,2,1,0,0,1,0,0,Very Low,7.261927052496146,murder_risk
ashuganj,saturday,morning,24.0366,91.005,0.09895174907032928,0.09895174907032928,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.484276236054939,murder_risk
ashuganj,saturday,night,24.0366,91.005,0.11935327046742564,0.0,0.0,0.11935327046742564,0.0,0.0,0.0,1,0,0,1,0,0,0,Very Low,6.790299057011385,kidnap_risk
